2022-12-14 18:23:03.491 INFO  (main) [] o.e.j.u.log Logging initialized @859ms to org.eclipse.jetty.util.log.Slf4jLog
2022-12-14 18:23:03.691 INFO  (main) [] o.e.j.s.Server jetty-9.4.44.v20210927; built: 2021-09-27T23:02:44.612Z; git: 8da83308eeca865e495e53ef315a249d63ba9332; jvm 17.0.5+8-Ubuntu-2ubuntu120.04
2022-12-14 18:23:04.027 INFO  (main) [] o.a.s.s.CoreContainerProvider Using logger factory org.apache.logging.slf4j.Log4jLoggerFactory
2022-12-14 18:23:04.040 INFO  (main) [] o.a.s.s.CoreContainerProvider  ___      _       Welcome to Apache Solr™ version 9.0.0
2022-12-14 18:23:04.041 INFO  (main) [] o.a.s.s.CoreContainerProvider / __| ___| |_ _   Starting in cloud mode on port 8983
2022-12-14 18:23:04.041 INFO  (main) [] o.a.s.s.CoreContainerProvider \__ \/ _ \ | '_|  Install dir: /home/andrea/Documenti/Usi/3 anno/1_semestre/Information_Retrieval/projectIR/RetrievalSystem/solr-9.0.0
2022-12-14 18:23:04.041 INFO  (main) [] o.a.s.s.CoreContainerProvider |___/\___/_|_|    Start time: 2022-12-14T18:23:04.041427427Z
2022-12-14 18:23:04.049 INFO  (main) [] o.a.s.s.CoreContainerProvider Solr Home: /home/andrea/Documenti/Usi/3 anno/1_semestre/Information_Retrieval/projectIR/RetrievalSystem/solr-9.0.0/example/cloud/node1/solr (source: system property: solr.solr.home)
2022-12-14 18:23:04.051 INFO  (main) [] o.a.s.c.SolrXmlConfig Loading solr.xml from /home/andrea/Documenti/Usi/3 anno/1_semestre/Information_Retrieval/projectIR/RetrievalSystem/solr-9.0.0/example/cloud/node1/solr/solr.xml
2022-12-14 18:23:05.069 WARN  (main) [] o.a.s.u.StartupLoggingUtils Jetty request logging enabled. Will retain logs for last 3 days. See chapter "Configuring Logging" in reference guide for how to configure.
2022-12-14 18:23:05.075 INFO  (main) [] o.a.s.c.SolrZkServerProps Reading configuration from: /home/andrea/Documenti/Usi/3 anno/1_semestre/Information_Retrieval/projectIR/RetrievalSystem/solr-9.0.0/example/cloud/node1/solr/zoo.cfg
2022-12-14 18:23:05.078 INFO  (main) [] o.a.s.c.SolrZkServer STARTING EMBEDDED STANDALONE ZOOKEEPER SERVER at port 9983
2022-12-14 18:23:05.078 WARN  (main) [] o.a.s.c.SolrZkServer Embedded Zookeeper is not recommended in production environments. See Reference Guide for details.
2022-12-14 18:23:05.131 WARN  (embeddedZkServer) [] o.a.z.s.ServerCnxnFactory maxCnxns is not configured, using default value 0.
2022-12-14 18:23:05.579 INFO  (main) [] o.a.s.c.ZkContainer Zookeeper client=localhost:9983
2022-12-14 18:23:05.593 INFO  (main) [] o.a.s.c.DistributedClusterStateUpdater Creating DistributedClusterStateUpdater with useDistributedStateUpdate=false. Solr will be using Overseer based cluster state updates.
2022-12-14 18:23:05.620 INFO  (main) [] o.a.s.c.c.ConnectionManager Waiting up to 30000ms for client to connect to ZooKeeper
2022-12-14 18:23:05.641 INFO  (zkConnectionManagerCallback-10-thread-1) [] o.a.s.c.c.ConnectionManager zkClient has connected
2022-12-14 18:23:05.641 INFO  (main) [] o.a.s.c.c.ConnectionManager Client is connected to ZooKeeper
2022-12-14 18:23:05.674 WARN  (main) [] o.a.s.c.ZkController Contents of zookeeper /security.json are world-readable; consider setting up ACLs as described in https://solr.apache.org/guide/zookeeper-access-control.html
2022-12-14 18:23:05.681 INFO  (main) [] o.a.s.c.c.ZkStateReader Updated live nodes from ZooKeeper... (0) -> (1)
2022-12-14 18:23:05.706 INFO  (main) [] o.a.s.c.DistributedClusterStateUpdater Creating DistributedClusterStateUpdater with useDistributedStateUpdate=false. Solr will be using Overseer based cluster state updates.
2022-12-14 18:23:05.720 INFO  (main) [] o.a.s.c.ZkController Publish node=localhost:8983_solr as DOWN
